Book_Description,Bank_Description,Book_Amount,Bank_Amount,Book_Date,Bank_Date,Book_Reference,Bank_Reference,Book_Cheque,Bank_Cheque,Status
Salary Payment,NEFT Salary Transfer,462433,462433,2026-01-14,2026-01-14,REF886368,REF886368,NA,NA,Matched
Bank Charges,Bank Service Charge,66729,67803,2026-03-04,2026-03-04,REF498689,REF498689,NA,NA,Amount Mismatch
Professional Fees,Consultancy Payment,252936,252936,2026-01-27,2026-01-27,REF625914,REF625914,CHQ8202,CHQ8202,Matched
Vendor Payment,Vendor Transfer,485015,485015,2026-03-04,2026-03-04,REF509501,REF509501,NA,NA,Matched
Customer Receipt,Customer Credit,170620,170620,2026-02-14,2026-02-14,REF488103,REF488103,CHQ6312,CHQ6312,Matched
GST Payment,GST Challan,309026,309026,2026-06-22,2026-06-22,REF555280,REF555280,NA,NA,Matched
Insurance Premium,Insurance Debit,464841,464841,2026-06-29,2026-06-29,REF422593,REF422593,NA,NA,Matched
Vendor Payment,Vendor Transfer,201375,201375,2026-03-09,2026-03-09,REF306246,REF306246,NA,NA,Matched
Software Subscription,Software Auto Debit,342936,342936,2026-05-07,2026-05-07,REF226213,REF226213,CHQ6902,CHQ6902,Matched
Internet Expense,Internet Payment,405406,405406,2026-05-24,2026-05-24,REF871087,REF871087,CHQ9525,CHQ9525,Matched
Customer Receipt,Customer Credit,417732,417732,2026-06-24,2026-06-24,REF583840,REF710198,CHQ3782,CHQ3782,Reference Mismatch
Insurance Premium,Insurance Debit,296639,296639,2026-01-20,2026-01-20,REF796803,REF796803,NA,NA,Matched
Vendor Payment,Vendor Transfer,209568,209568,2026-01-05,2026-01-05,REF975796,REF975796,CHQ9988,CHQ9988,Matched
Software Subscription,Software Auto Debit,199257,199257,2026-05-02,2026-05-02,REF596855,REF596855,NA,NA,Matched
Customer Receipt,Customer Credit,384147,384147,2026-04-04,2026-04-04,REF311199,REF311199,NA,NA,Matched
Vendor Payment,Vendor Transfer,286481,286481,2026-03-15,2026-03-15,REF672960,REF672960,NA,NA,Matched
Office Rent,Rent Transfer,41304,41304,2026-01-03,2026-01-03,REF545176,REF545176,CHQ1176,CHQ1176,Matched
Loan EMI,EMI Debit,449498,449498,2026-03-29,2026-03-29,REF458196,REF458196,NA,NA,Matched
Loan EMI,EMI Debit,91735,91735,2026-04-09,2026-04-09,REF456111,REF456111,CHQ3742,CHQ3742,Matched
Fuel Expense,Fuel Card Payment,237140,237140,2026-02-17,2026-03-02,REF572291,REF572291,NA,NA,Date Difference
Internet Expense,Internet Payment,441928,441928,2026-06-09,2026-06-09,REF765789,REF765789,CHQ5176,CHQ5176,Matched
Fuel Expense,Fuel Card Payment,212982,212982,2026-01-22,2026-01-22,REF323951,REF323951,CHQ8816,CHQ8816,Matched
Vendor Payment,Vendor Transfer,270015,270015,2026-06-27,2026-06-27,REF622566,REF622566,NA,NA,Matched
Office Rent,Rent Transfer,75691,75691,2026-03-31,2026-04-08,REF715194,REF715194,CHQ1871,CHQ1871,Date Difference
Advertising Expense,Marketing Expense,291035,291035,2026-04-19,2026-04-19,REF493597,REF493597,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,135444,135444,2026-02-06,2026-02-06,REF706204,REF706204,CHQ6899,CHQ6899,Probable Match
Vendor Payment,Vendor Transfer,172385,172385,2026-05-26,2026-05-26,REF928009,REF928009,NA,NA,Matched
Professional Fees,Consultancy Payment,182241,182241,2026-01-19,2026-01-19,REF359610,REF359610,CHQ5728,CHQ5728,Probable Match
Fuel Expense,Fuel Card Payment,230039,230039,2026-04-06,2026-04-06,REF276820,REF276820,CHQ1273,CHQ1273,Matched
Fuel Expense,Fuel Card Payment,392973,392973,2026-01-12,2026-01-12,REF118086,REF118086,NA,NA,Probable Match
Electricity Bill,Electricity Payment,254441,254441,2026-04-23,2026-04-23,REF733027,REF733027,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,75123,75123,2026-03-07,2026-03-07,REF101903,REF101903,CHQ2871,CHQ4113,Cheque Mismatch
Bank Charges,Bank Service Charge,322048,322048,2026-01-09,2026-01-09,REF739385,REF739385,CHQ5307,CHQ5307,Probable Match
Insurance Premium,Insurance Debit,324615,324615,2026-06-09,2026-06-17,REF769916,REF769916,CHQ9822,CHQ9822,Date Difference
Fuel Expense,Fuel Card Payment,156115,156115,2026-05-21,2026-05-21,REF355957,REF355957,NA,NA,Matched
Vendor Payment,Vendor Transfer,231397,231397,2026-05-22,2026-05-22,REF612330,REF612330,NA,NA,Matched
Internet Expense,Internet Payment,447522,447522,2026-03-21,2026-03-21,REF233546,REF233546,NA,NA,Probable Match
Salary Payment,NEFT Salary Transfer,182150,182150,2026-04-14,2026-04-14,REF597937,REF597937,CHQ2548,CHQ2548,Matched
Customer Receipt,Customer Credit,160674,160674,2026-05-02,2026-05-02,REF488806,REF488806,CHQ7686,CHQ7686,Matched
Bank Charges,Bank Service Charge,335164,335164,2026-01-18,2026-01-18,REF669518,REF669518,NA,NA,Matched
Advertising Expense,Marketing Expense,175110,175110,2026-02-10,2026-02-10,REF471138,REF471138,CHQ1950,CHQ1950,Matched
Salary Payment,NEFT Salary Transfer,213733,213733,2026-05-17,2026-05-17,REF246637,REF246637,CHQ3014,CHQ3014,Matched
Office Rent,Rent Transfer,48309,48309,2026-06-10,2026-06-10,REF412380,REF412380,NA,NA,Matched
