Book_Description,Bank_Description,Book_Amount,Bank_Amount,Book_Date,Bank_Date,Book_Reference,Bank_Reference,Book_Cheque,Bank_Cheque,Status
GST Payment,GST Payment,74780,74780,2026-06-11,2026-06-11,REF11956,REF11956,CHQ9948,CHQ9948,Matched
Bank Charges,Bank Charges,31523,-31523,2026-06-02,2026-06-02,REF88145,REF88145,CHQ4953,CHQ4953,Reversal Entry
Software Subscription,Software Subscription,12767,-12767,2026-07-01,2026-07-01,REF49110,REF49110,CHQ6762,CHQ6762,Reversal Entry
Bank Charges,Bank Charges,1315,1310,2026-06-25,2026-06-26,REF93472,REF93472,CHQ1423,CHQ1423,Fuzzy Matched
Professional Fees,Professional Fees,91295,91295,2026-06-05,2026-06-05,REF88020,REF88020,CHQ1169,CHQ1169,Duplicate
Customer Receipt,Customer Receipt,6528,6528,2026-06-24,2026-06-24,REF21433,REF21433,CHQ4336,CHQ4336,Duplicate
Software Subscription,Not Available,13080,0,2026-06-01,2026-06-01,REF16790,NA,CHQ6431,NA,Missing Entry
Customer Receipt,Customer Receipt,29726,29726,2026-07-01,2026-07-01,REF46260,REF46260,CHQ1895,CHQ1895,Duplicate
Vendor Payment,Vendor Payment,45027,45018,2026-06-12,2026-06-15,REF99377,REF99377,CHQ2357,CHQ2357,Fuzzy Matched
Software Subscription,Software Subscription,77514,77505,2026-06-20,2026-06-22,REF35997,REF35997,CHQ5864,CHQ5864,Fuzzy Matched
Bank Charges,Bank Charges,52307,52307,2026-06-30,2026-06-30,REF96713,REF96713,CHQ1706,CHQ1706,Matched
Salary Payment,Salary Payment,84431,84431,2026-06-07,2026-06-07,REF84445,REF84445,CHQ4054,CHQ4054,Duplicate
Salary Payment,Salary Payment,44440,44443,2026-06-05,2026-06-07,REF87599,REF87599,CHQ7580,CHQ7580,Fuzzy Matched
Vendor Payment,Vendor Payment,9210,9220,2026-06-18,2026-06-19,REF88076,REF88076,CHQ6820,CHQ6820,Fuzzy Matched
Office Rent,Office Rent,47965,-47965,2026-06-11,2026-06-11,REF53044,REF53044,CHQ3499,CHQ3499,Reversal Entry
