Account_Name,Account_Type,Debit,Credit
Furniture,Asset,86206,0
Vehicle,Asset,312157,0
Inventory,Asset,484301,0
Vehicle,Asset,405172,0
Vehicle,Asset,406268,0
Accounts Receivable,Asset,219183,0
Cash,Asset,113536,0
Vehicle,Asset,78900,0
Inventory,Asset,43741,0
Vehicle,Asset,416077,0
Vehicle,Asset,397296,0
Cash,Asset,164454,0
Furniture,Asset,215510,0
Accounts Receivable,Asset,59940,0
Accounts Receivable,Asset,451758,0
Cash,Asset,91669,0
Accounts Receivable,Asset,376011,0
Vehicle,Asset,36154,0
Cash,Asset,193026,0
Inventory,Asset,126299,0
Cash,Asset,31301,0
Inventory,Asset,157217,0
Accounts Receivable,Asset,381092,0
Furniture,Asset,177356,0
Furniture,Asset,353309,0
Cash,Asset,410344,0
Inventory,Asset,168280,0
Furniture,Asset,35198,0
Cash,Asset,396428,0
Bank Account,Asset,317812,0
Accounts Receivable,Asset,322086,0
Furniture,Asset,317569,0
Accounts Receivable,Asset,112252,0
Furniture,Asset,259430,0
Vehicle,Asset,332854,0
Bank Account,Asset,82403,0
Bank Account,Asset,171479,0
Furniture,Asset,70959,0
Cash,Asset,237290,0
Inventory,Asset,44984,0
Vehicle,Asset,264227,0
Inventory,Asset,117040,0
Accounts Receivable,Asset,396269,0
Accounts Receivable,Asset,130007,0
Furniture,Asset,197413,0
Accounts Receivable,Asset,205513,0
Inventory,Asset,125237,0
Vehicle,Asset,60655,0
Furniture,Asset,451498,0
Vehicle,Asset,289796,0
Bank Account,Asset,334237,0
Accounts Receivable,Asset,378949,0
Cash,Asset,203931,0
Accounts Receivable,Asset,289763,0
Bank Account,Asset,167884,0
Inventory,Asset,364355,0
Accounts Receivable,Asset,497183,0
Bank Account,Asset,130003,0
Inventory,Asset,32417,0
Inventory,Asset,237116,0
Cash,Asset,354666,0
Inventory,Asset,346224,0
Furniture,Asset,116108,0
Bank Account,Asset,217534,0
Inventory,Asset,357184,0
Vehicle,Asset,375423,0
Accounts Receivable,Asset,40006,0
Vehicle,Asset,284749,0
Inventory,Asset,47773,0
Furniture,Asset,149008,0
Furniture,Asset,257630,0
Accounts Receivable,Asset,421146,0
Cash,Asset,421514,0
Furniture,Asset,429470,0
Cash,Asset,92089,0
Vehicle,Asset,267724,0
Vehicle,Asset,55008,0
Vehicle,Asset,341549,0
Furniture,Asset,317974,0
Accounts Receivable,Asset,109477,0
Accounts Receivable,Asset,78028,0
Inventory,Asset,482389,0
Vehicle,Asset,416385,0
Cash,Asset,330376,0
Bank Account,Asset,416163,0
Accounts Receivable,Asset,136007,0
Cash,Asset,479141,0
Vehicle,Asset,315986,0
Cash,Asset,315879,0
Inventory,Asset,372273,0
Accounts Receivable,Asset,152194,0
Vehicle,Asset,389364,0
Inventory,Asset,62177,0
Accounts Receivable,Asset,272274,0
Furniture,Asset,363956,0
Cash,Asset,70602,0
Cash,Asset,138712,0
Bank Account,Asset,48582,0
Furniture,Asset,422557,0
Accounts Receivable,Asset,356475,0
Accounts Receivable,Asset,273990,0
Cash,Asset,468376,0
Bank Account,Asset,171056,0
Furniture,Asset,447057,0
Inventory,Asset,78838,0
Accounts Receivable,Asset,55058,0
Inventory,Asset,468699,0
Furniture,Asset,59122,0
Vehicle,Asset,302765,0
Cash,Asset,50463,0
Inventory,Asset,181642,0
Vehicle,Asset,189686,0
Vehicle,Asset,155091,0
Bank Account,Asset,234328,0
Vehicle,Asset,75425,0
Bank Account,Asset,191237,0
Inventory,Asset,133632,0
Vehicle,Asset,351674,0
Cash,Asset,339394,0
Cash,Asset,195123,0
Bank Account,Asset,171237,0
Furniture,Asset,427379,0
Furniture,Asset,418441,0
Inventory,Asset,268478,0
Inventory,Asset,352108,0
Inventory,Asset,406696,0
Accounts Receivable,Asset,349922,0
Cash,Asset,188367,0
Cash,Asset,341022,0
Cash,Asset,287180,0
Cash,Asset,192854,0
Inventory,Asset,484955,0
Accounts Receivable,Asset,7501,0
Bank Account,Asset,235246,0
Inventory,Asset,295387,0
Vehicle,Asset,429010,0
Bank Account,Asset,57554,0
Inventory,Asset,158898,0
Inventory,Asset,349819,0
Furniture,Asset,414495,0
Cash,Asset,366515,0
Accounts Receivable,Asset,335635,0
Inventory,Asset,494320,0
Vehicle,Asset,91340,0
Cash,Asset,200588,0
Inventory,Asset,235248,0
Furniture,Asset,31331,0
Vehicle,Asset,439050,0
Cash,Asset,235532,0
Bank Account,Asset,433687,0
Cash,Asset,114502,0
Furniture,Asset,468797,0
Vehicle,Asset,260785,0
Vehicle,Asset,314066,0
Bank Account,Asset,494882,0
Furniture,Asset,359376,0
Vehicle,Asset,149306,0
Inventory,Asset,142382,0
Furniture,Asset,69446,0
Bank Account,Asset,328887,0
Cash,Asset,360665,0
Inventory,Asset,260642,0
Accounts Receivable,Asset,350429,0
Bank Account,Asset,431694,0
Furniture,Asset,90945,0
Accounts Receivable,Asset,130034,0
Accounts Receivable,Asset,478284,0
Accounts Receivable,Asset,287708,0
Accounts Receivable,Asset,279608,0
Furniture,Asset,8934,0
Inventory,Asset,424309,0
Cash,Asset,449026,0
Accounts Receivable,Asset,487303,0
Bank Account,Asset,485045,0
