Transaction_Text,Amount,Debit_Account,Credit_Account,Transaction_Type
Salary transfer through bank,114656,Salary Expense,Bank,Salary Payment
Payroll expense booked,247871,Salary Expense,Bank,Salary Payment
Salary transfer through bank,48494,Salary Expense,Bank,Salary Payment
Salary paid to employees,343692,Salary Expense,Bank,Salary Payment
Employee wages paid,416979,Salary Expense,Bank,Salary Payment
Monthly payroll processed,389344,Salary Expense,Bank,Salary Payment
Employee wages paid,213369,Salary Expense,Bank,Salary Payment
Salary paid to employees,18384,Salary Expense,Bank,Salary Payment
Payroll expense booked,487876,Salary Expense,Bank,Salary Payment
Monthly payroll processed,491737,Salary Expense,Bank,Salary Payment
Employee wages paid,251034,Salary Expense,Bank,Salary Payment
Monthly payroll processed,143889,Salary Expense,Bank,Salary Payment
Employee wages paid,230201,Salary Expense,Bank,Salary Payment
Monthly payroll processed,96510,Salary Expense,Bank,Salary Payment
Salary transfer through bank,217711,Salary Expense,Bank,Salary Payment
Payroll expense booked,161868,Salary Expense,Bank,Salary Payment
Payroll expense booked,107532,Salary Expense,Bank,Salary Payment
Salary paid to employees,186800,Salary Expense,Bank,Salary Payment
Salary paid to employees,304197,Salary Expense,Bank,Salary Payment
Salary paid to employees,251294,Salary Expense,Bank,Salary Payment
Payroll expense booked,103339,Salary Expense,Bank,Salary Payment
Salary paid to employees,122817,Salary Expense,Bank,Salary Payment
Employee wages paid,72947,Salary Expense,Bank,Salary Payment
Salary transfer through bank,476957,Salary Expense,Bank,Salary Payment
Salary paid to employees,283371,Salary Expense,Bank,Salary Payment
Salary paid to employees,431245,Salary Expense,Bank,Salary Payment
Employee wages paid,458719,Salary Expense,Bank,Salary Payment
Salary transfer through bank,462754,Salary Expense,Bank,Salary Payment
Monthly payroll processed,248093,Salary Expense,Bank,Salary Payment
Salary transfer through bank,149481,Salary Expense,Bank,Salary Payment
Payroll expense booked,274213,Salary Expense,Bank,Salary Payment
Employee wages paid,72651,Salary Expense,Bank,Salary Payment
Monthly payroll processed,452372,Salary Expense,Bank,Salary Payment
Monthly payroll processed,227023,Salary Expense,Bank,Salary Payment
Employee wages paid,88027,Salary Expense,Bank,Salary Payment
Salary paid to employees,151126,Salary Expense,Bank,Salary Payment
Employee wages paid,69299,Salary Expense,Bank,Salary Payment
Salary transfer through bank,325514,Salary Expense,Bank,Salary Payment
Salary transfer through bank,80612,Salary Expense,Bank,Salary Payment
Monthly payroll processed,309116,Salary Expense,Bank,Salary Payment
Salary paid to employees,216856,Salary Expense,Bank,Salary Payment
Monthly payroll processed,490090,Salary Expense,Bank,Salary Payment
Salary transfer through bank,441171,Salary Expense,Bank,Salary Payment
Employee wages paid,107577,Salary Expense,Bank,Salary Payment
Payroll expense booked,239986,Salary Expense,Bank,Salary Payment
Monthly payroll processed,334172,Salary Expense,Bank,Salary Payment
Salary transfer through bank,426962,Salary Expense,Bank,Salary Payment
Salary paid to employees,120916,Salary Expense,Bank,Salary Payment
Payroll expense booked,192750,Salary Expense,Bank,Salary Payment
Salary transfer through bank,291354,Salary Expense,Bank,Salary Payment
Salary transfer through bank,361330,Salary Expense,Bank,Salary Payment
Salary transfer through bank,146882,Salary Expense,Bank,Salary Payment
Salary transfer through bank,440507,Salary Expense,Bank,Salary Payment
Salary paid to employees,292575,Salary Expense,Bank,Salary Payment
Salary transfer through bank,87695,Salary Expense,Bank,Salary Payment
Salary paid to employees,71536,Salary Expense,Bank,Salary Payment
Payroll expense booked,260860,Salary Expense,Bank,Salary Payment
Salary paid to employees,57220,Salary Expense,Bank,Salary Payment
Salary transfer through bank,484405,Salary Expense,Bank,Salary Payment
Salary transfer through bank,477678,Salary Expense,Bank,Salary Payment
Salary transfer through bank,137111,Salary Expense,Bank,Salary Payment
Employee wages paid,214277,Salary Expense,Bank,Salary Payment
Salary transfer through bank,225405,Salary Expense,Bank,Salary Payment
Monthly payroll processed,284166,Salary Expense,Bank,Salary Payment
Monthly payroll processed,43209,Salary Expense,Bank,Salary Payment
Salary transfer through bank,124036,Salary Expense,Bank,Salary Payment
Salary transfer through bank,403691,Salary Expense,Bank,Salary Payment
Salary transfer through bank,227772,Salary Expense,Bank,Salary Payment
Employee wages paid,398594,Salary Expense,Bank,Salary Payment
Payroll expense booked,199528,Salary Expense,Bank,Salary Payment
Salary transfer through bank,428828,Salary Expense,Bank,Salary Payment
Employee wages paid,315136,Salary Expense,Bank,Salary Payment
Payroll expense booked,444171,Salary Expense,Bank,Salary Payment
Salary transfer through bank,297852,Salary Expense,Bank,Salary Payment
Payroll expense booked,322211,Salary Expense,Bank,Salary Payment
Employee wages paid,299287,Salary Expense,Bank,Salary Payment
Monthly payroll processed,271927,Salary Expense,Bank,Salary Payment
Payroll expense booked,357179,Salary Expense,Bank,Salary Payment
Monthly payroll processed,472779,Salary Expense,Bank,Salary Payment
Salary transfer through bank,142561,Salary Expense,Bank,Salary Payment
Monthly payroll processed,485553,Salary Expense,Bank,Salary Payment
Salary transfer through bank,427568,Salary Expense,Bank,Salary Payment
Salary transfer through bank,340740,Salary Expense,Bank,Salary Payment
Monthly payroll processed,306880,Salary Expense,Bank,Salary Payment
Employee wages paid,391571,Salary Expense,Bank,Salary Payment
Employee wages paid,189929,Salary Expense,Bank,Salary Payment
Salary paid to employees,34525,Salary Expense,Bank,Salary Payment
Monthly payroll processed,17161,Salary Expense,Bank,Salary Payment
Employee wages paid,19269,Salary Expense,Bank,Salary Payment
Payroll expense booked,223935,Salary Expense,Bank,Salary Payment
Monthly payroll processed,311685,Salary Expense,Bank,Salary Payment
Salary paid to employees,122666,Salary Expense,Bank,Salary Payment
Salary transfer through bank,380991,Salary Expense,Bank,Salary Payment
Employee wages paid,352497,Salary Expense,Bank,Salary Payment
Monthly payroll processed,334763,Salary Expense,Bank,Salary Payment
Salary transfer through bank,114463,Salary Expense,Bank,Salary Payment
Employee wages paid,238303,Salary Expense,Bank,Salary Payment
Salary paid to employees,41550,Salary Expense,Bank,Salary Payment
Employee wages paid,104817,Salary Expense,Bank,Salary Payment
Salary transfer through bank,307305,Salary Expense,Bank,Salary Payment
Employee wages paid,357650,Salary Expense,Bank,Salary Payment
Salary transfer through bank,379158,Salary Expense,Bank,Salary Payment
Payroll expense booked,366206,Salary Expense,Bank,Salary Payment
Monthly payroll processed,94747,Salary Expense,Bank,Salary Payment
Employee wages paid,97717,Salary Expense,Bank,Salary Payment
Employee wages paid,40690,Salary Expense,Bank,Salary Payment
Salary transfer through bank,104525,Salary Expense,Bank,Salary Payment
Salary transfer through bank,204168,Salary Expense,Bank,Salary Payment
Payroll expense booked,450097,Salary Expense,Bank,Salary Payment
Monthly payroll processed,198502,Salary Expense,Bank,Salary Payment
Salary paid to employees,278680,Salary Expense,Bank,Salary Payment
Monthly payroll processed,61688,Salary Expense,Bank,Salary Payment
Salary paid to employees,114172,Salary Expense,Bank,Salary Payment
Salary transfer through bank,342925,Salary Expense,Bank,Salary Payment
Salary transfer through bank,456349,Salary Expense,Bank,Salary Payment
Salary paid to employees,189259,Salary Expense,Bank,Salary Payment
Payroll expense booked,53566,Salary Expense,Bank,Salary Payment
Employee wages paid,235158,Salary Expense,Bank,Salary Payment
Payroll expense booked,361621,Salary Expense,Bank,Salary Payment
Employee wages paid,165127,Salary Expense,Bank,Salary Payment
Salary paid to employees,329875,Salary Expense,Bank,Salary Payment
Salary transfer through bank,209700,Salary Expense,Bank,Salary Payment
Salary transfer through bank,112467,Salary Expense,Bank,Salary Payment
Monthly payroll processed,300158,Salary Expense,Bank,Salary Payment
Salary transfer through bank,482552,Salary Expense,Bank,Salary Payment
Employee wages paid,476513,Salary Expense,Bank,Salary Payment
Salary paid to employees,339165,Salary Expense,Bank,Salary Payment
Payroll expense booked,251963,Salary Expense,Bank,Salary Payment
Payroll expense booked,260782,Salary Expense,Bank,Salary Payment
Monthly payroll processed,285527,Salary Expense,Bank,Salary Payment
Payroll expense booked,454245,Salary Expense,Bank,Salary Payment
Employee wages paid,87251,Salary Expense,Bank,Salary Payment
Employee wages paid,336198,Salary Expense,Bank,Salary Payment
Employee wages paid,365240,Salary Expense,Bank,Salary Payment
Monthly payroll processed,213760,Salary Expense,Bank,Salary Payment
Monthly payroll processed,140878,Salary Expense,Bank,Salary Payment
Salary paid to employees,417506,Salary Expense,Bank,Salary Payment
Salary transfer through bank,310161,Salary Expense,Bank,Salary Payment
Employee wages paid,304700,Salary Expense,Bank,Salary Payment
Payroll expense booked,476452,Salary Expense,Bank,Salary Payment
Employee wages paid,136219,Salary Expense,Bank,Salary Payment
Salary transfer through bank,404156,Salary Expense,Bank,Salary Payment
Salary transfer through bank,351054,Salary Expense,Bank,Salary Payment
Employee wages paid,472470,Salary Expense,Bank,Salary Payment
Employee wages paid,47151,Salary Expense,Bank,Salary Payment
Employee wages paid,331433,Salary Expense,Bank,Salary Payment
Monthly payroll processed,382365,Salary Expense,Bank,Salary Payment
Salary transfer through bank,77219,Salary Expense,Bank,Salary Payment
Salary transfer through bank,209674,Salary Expense,Bank,Salary Payment
Salary paid to employees,472633,Salary Expense,Bank,Salary Payment
Salary paid to employees,50503,Salary Expense,Bank,Salary Payment
Salary transfer through bank,317493,Salary Expense,Bank,Salary Payment
Monthly payroll processed,496366,Salary Expense,Bank,Salary Payment
Monthly payroll processed,288146,Salary Expense,Bank,Salary Payment
Employee wages paid,308088,Salary Expense,Bank,Salary Payment
Salary paid to employees,150902,Salary Expense,Bank,Salary Payment
Monthly payroll processed,161898,Salary Expense,Bank,Salary Payment
Monthly payroll processed,470377,Salary Expense,Bank,Salary Payment
Payroll expense booked,151530,Salary Expense,Bank,Salary Payment
Payroll expense booked,255520,Salary Expense,Bank,Salary Payment
Salary paid to employees,337261,Salary Expense,Bank,Salary Payment
Salary paid to employees,61905,Salary Expense,Bank,Salary Payment
Monthly payroll processed,286474,Salary Expense,Bank,Salary Payment
Employee wages paid,80804,Salary Expense,Bank,Salary Payment
Salary transfer through bank,175749,Salary Expense,Bank,Salary Payment
Salary transfer through bank,138734,Salary Expense,Bank,Salary Payment
Salary transfer through bank,374937,Salary Expense,Bank,Salary Payment
Payroll expense booked,446478,Salary Expense,Bank,Salary Payment
Salary paid to employees,195926,Salary Expense,Bank,Salary Payment
Salary transfer through bank,85853,Salary Expense,Bank,Salary Payment
Salary paid to employees,25349,Salary Expense,Bank,Salary Payment
Salary paid to employees,361509,Salary Expense,Bank,Salary Payment
Employee wages paid,299736,Salary Expense,Bank,Salary Payment
Employee wages paid,16896,Salary Expense,Bank,Salary Payment
Monthly payroll processed,39696,Salary Expense,Bank,Salary Payment
Salary paid to employees,457855,Salary Expense,Bank,Salary Payment
Employee wages paid,165992,Salary Expense,Bank,Salary Payment
Payroll expense booked,220752,Salary Expense,Bank,Salary Payment
Salary paid to employees,366166,Salary Expense,Bank,Salary Payment
Payroll expense booked,171441,Salary Expense,Bank,Salary Payment
Employee wages paid,426042,Salary Expense,Bank,Salary Payment
Employee wages paid,266677,Salary Expense,Bank,Salary Payment
Salary transfer through bank,221392,Salary Expense,Bank,Salary Payment
