Agency_ID,Guard_ID,State,Document_Name,Document_Status,Training_Completed,Police_Verified,Medical_Fit,Expiry_Days_Left,Risk_Level
AGENCY_2099,GUARD_22435,Punjab,Aadhaar Card,Missing,Yes,No,No,302,High Risk
AGENCY_2645,GUARD_33258,Uttar Pradesh,PAN Card,Missing,Yes,No,Yes,229,High Risk
AGENCY_2405,GUARD_56041,Uttar Pradesh,GST Certificate,Expired,No,No,Yes,245,High Risk
AGENCY_4291,GUARD_20839,Punjab,Employment Contract,Missing,Yes,Yes,No,51,Medium Risk
AGENCY_1118,GUARD_20642,Rajasthan,PAN Card,Submitted,No,No,No,147,High Risk
AGENCY_8776,GUARD_88267,Uttar Pradesh,Aadhaar Card,Submitted,Yes,No,No,184,High Risk
AGENCY_6143,GUARD_42347,Delhi,Shop Act License,Verified,No,Yes,Yes,0,High Risk
AGENCY_6029,GUARD_94196,Punjab,GST Certificate,Verified,Yes,Yes,Yes,30,Low Risk
AGENCY_3426,GUARD_75579,Uttar Pradesh,Medical Fitness,Verified,No,Yes,Yes,200,High Risk
AGENCY_9324,GUARD_68790,Delhi,Employment Contract,Missing,No,Yes,No,249,High Risk
AGENCY_4769,GUARD_42024,Uttar Pradesh,ESIC Registration,Expired,Yes,No,No,223,High Risk
AGENCY_2404,GUARD_18916,Rajasthan,Address Proof,Expired,Yes,Yes,No,20,High Risk
AGENCY_7404,GUARD_76290,Delhi,Police Verification,Verified,Yes,No,No,188,High Risk
AGENCY_9753,GUARD_78680,Delhi,Aadhaar Card,Verified,Yes,No,Yes,2,High Risk
AGENCY_3426,GUARD_52913,Delhi,Character Certificate,Expired,Yes,No,No,296,High Risk
AGENCY_5206,GUARD_88421,Punjab,Affidavit,Expired,Yes,No,Yes,152,High Risk
AGENCY_7715,GUARD_40715,Rajasthan,EPF Registration,Expired,Yes,No,No,77,High Risk
AGENCY_5309,GUARD_70052,Haryana,Aadhaar Card,Missing,No,No,No,237,High Risk
AGENCY_1442,GUARD_96227,Rajasthan,PAN Card,Missing,Yes,Yes,Yes,357,Medium Risk
AGENCY_6806,GUARD_84209,Haryana,Character Certificate,Expired,Yes,Yes,Yes,333,High Risk
AGENCY_2281,GUARD_55598,Uttar Pradesh,Shop Act License,Submitted,Yes,No,No,222,High Risk
AGENCY_9196,GUARD_24795,Delhi,Address Proof,Missing,Yes,Yes,Yes,107,Medium Risk
