Transaction_Text,Amount,Deductee_Type,TDS_Section,TDS_Rate,TDS_Amount,Net_Payment,Ledger
Transport charges paid,318179,Individual,194C,1%,3181.79,314997.21,Contractor Expense
Interest on unsecured loan,55664,Individual,194A,10%,5566.4,50097.6,Interest Expense
Interest paid on loan,371598,Individual,194A,10%,37159.8,334438.2,Interest Expense
Raw material purchase made,168412,Contractor,194Q,0.1%,168.41,168243.59,Purchase Expense
Bulk inventory purchase,412235,Individual,194Q,0.1%,412.24,411822.76,Purchase Expense
Sales commission payment,323067,Contractor,194H,5%,16153.35,306913.65,Commission Expense
Sales commission payment,234209,Company,194H,5%,11710.45,222498.55,Commission Expense
Transport charges paid,278409,Contractor,194C,1%,2784.09,275624.91,Contractor Expense
Shop rent transferred,105278,Company,194I,10%,10527.8,94750.2,Rent Expense
Purchase of stock items,229317,Contractor,194Q,0.1%,229.32,229087.68,Purchase Expense
Goods purchased from vendor,237735,Firm,194Q,0.1%,237.74,237497.26,Purchase Expense
Purchase of stock items,31642,Firm,194Q,0.1%,31.64,31610.36,Purchase Expense
Purchase of stock items,12696,Company,194Q,0.1%,12.7,12683.3,Purchase Expense
Sales commission payment,256135,Firm,194H,5%,12806.75,243328.25,Commission Expense
CA fees paid,180536,Individual,194J,10%,18053.6,162482.4,Professional Fees
CA fees paid,18656,Firm,194J,10%,1865.6,16790.4,Professional Fees
Transport charges paid,238081,Professional,194C,1%,2380.81,235700.19,Contractor Expense
Interest paid on loan,68443,Contractor,194A,10%,6844.3,61598.7,Interest Expense
Commission paid to agent,331758,Professional,194H,5%,16587.9,315170.1,Commission Expense
Goods purchased from vendor,70760,Company,194Q,0.1%,70.76,70689.24,Purchase Expense
Interest payment booked,160297,Firm,194A,10%,16029.7,144267.3,Interest Expense
Contractor payment made,55654,Company,194C,1%,556.54,55097.46,Contractor Expense
Referral commission paid,59464,Individual,194H,5%,2973.2,56490.8,Commission Expense
Labour charges paid,370859,Contractor,194C,1%,3708.59,367150.41,Contractor Expense
Warehouse rent paid,5705,Contractor,194I,10%,570.5,5134.5,Rent Expense
Legal consultancy fees paid,256815,Contractor,194J,10%,25681.5,231133.5,Professional Fees
Construction work payment,190198,Contractor,194C,1%,1901.98,188296.02,Contractor Expense
Purchase of stock items,355608,Company,194Q,0.1%,355.61,355252.39,Purchase Expense
Referral commission paid,81878,Company,194H,5%,4093.9,77784.1,Commission Expense
Brokerage charges paid,238536,Professional,194H,5%,11926.8,226609.2,Commission Expense
Labour charges paid,21201,Company,194C,1%,212.01,20988.99,Contractor Expense
Legal consultancy fees paid,354768,Company,194J,10%,35476.8,319291.2,Professional Fees
Contractor payment made,163230,Firm,194C,1%,1632.3,161597.7,Contractor Expense
Audit fees paid,398419,Firm,194J,10%,39841.9,358577.1,Professional Fees
Shop rent transferred,38036,Firm,194I,10%,3803.6,34232.4,Rent Expense
Goods purchased from vendor,192366,Firm,194Q,0.1%,192.37,192173.63,Purchase Expense
Vendor supply payment,487248,Company,194Q,0.1%,487.25,486760.75,Purchase Expense
Freight charges paid,100042,Firm,194C,1%,1000.42,99041.58,Contractor Expense
Freight charges paid,102713,Firm,194C,1%,1027.13,101685.87,Contractor Expense
Interest on unsecured loan,271364,Firm,194A,10%,27136.4,244227.6,Interest Expense
Purchase of stock items,419793,Individual,194Q,0.1%,419.79,419373.21,Purchase Expense
Contractor payment made,455231,Contractor,194C,1%,4552.31,450678.69,Contractor Expense
Sales commission payment,455436,Firm,194H,5%,22771.8,432664.2,Commission Expense
Doctor consultation fees paid,179456,Contractor,194J,10%,17945.6,161510.4,Professional Fees
Brokerage charges paid,6974,Company,194H,5%,348.7,6625.3,Commission Expense
Raw material purchase made,103130,Professional,194Q,0.1%,103.13,103026.87,Purchase Expense
Freight charges paid,478349,Company,194C,1%,4783.49,473565.51,Contractor Expense
Interest on unsecured loan,144119,Professional,194A,10%,14411.9,129707.1,Interest Expense
Interest payment booked,167847,Professional,194A,10%,16784.7,151062.3,Interest Expense
Office rent paid,447178,Professional,194I,10%,44717.8,402460.2,Rent Expense
Doctor consultation fees paid,409701,Company,194J,10%,40970.1,368730.9,Professional Fees
Legal consultancy fees paid,420600,Professional,194J,10%,42060.0,378540.0,Professional Fees
Interest paid on loan,103132,Company,194A,10%,10313.2,92818.8,Interest Expense
CA fees paid,69410,Contractor,194J,10%,6941.0,62469.0,Professional Fees
Labour charges paid,46529,Company,194C,1%,465.29,46063.71,Contractor Expense
Interest paid on loan,106631,Contractor,194A,10%,10663.1,95967.9,Interest Expense
Vendor supply payment,185828,Firm,194Q,0.1%,185.83,185642.17,Purchase Expense
Bank interest paid,109330,Contractor,194A,10%,10933.0,98397.0,Interest Expense
Office rent paid,383323,Firm,194I,10%,38332.3,344990.7,Rent Expense
Construction work payment,238072,Firm,194C,1%,2380.72,235691.28,Contractor Expense
Interest on unsecured loan,276452,Individual,194A,10%,27645.2,248806.8,Interest Expense
Property rent paid,339375,Firm,194I,10%,33937.5,305437.5,Rent Expense
Raw material purchase made,409478,Professional,194Q,0.1%,409.48,409068.52,Purchase Expense
Warehouse rent paid,15348,Professional,194I,10%,1534.8,13813.2,Rent Expense
Legal consultancy fees paid,12660,Company,194J,10%,1266.0,11394.0,Professional Fees
Construction work payment,188469,Company,194C,1%,1884.69,186584.31,Contractor Expense
Building lease payment,491687,Individual,194I,10%,49168.7,442518.3,Rent Expense
Building lease payment,6045,Company,194I,10%,604.5,5440.5,Rent Expense
Bank interest paid,160095,Contractor,194A,10%,16009.5,144085.5,Interest Expense
Warehouse rent paid,396590,Company,194I,10%,39659.0,356931.0,Rent Expense
Office rent paid,454863,Contractor,194I,10%,45486.3,409376.7,Rent Expense
Interest paid on loan,183168,Firm,194A,10%,18316.8,164851.2,Interest Expense
Transport charges paid,124016,Company,194C,1%,1240.16,122775.84,Contractor Expense
Building lease payment,167782,Company,194I,10%,16778.2,151003.8,Rent Expense
Property rent paid,421455,Company,194I,10%,42145.5,379309.5,Rent Expense
Referral commission paid,423490,Company,194H,5%,21174.5,402315.5,Commission Expense
Goods purchased from vendor,383425,Company,194Q,0.1%,383.43,383041.57,Purchase Expense
Goods purchased from vendor,148417,Individual,194Q,0.1%,148.42,148268.58,Purchase Expense
Vendor supply payment,291825,Firm,194Q,0.1%,291.82,291533.18,Purchase Expense
Goods purchased from vendor,380654,Contractor,194Q,0.1%,380.65,380273.35,Purchase Expense
Property rent paid,168311,Firm,194I,10%,16831.1,151479.9,Rent Expense
Office rent paid,69716,Individual,194I,10%,6971.6,62744.4,Rent Expense
Purchase of stock items,471004,Firm,194Q,0.1%,471.0,470533.0,Purchase Expense
Office rent paid,439508,Firm,194I,10%,43950.8,395557.2,Rent Expense
Construction work payment,281394,Company,194C,1%,2813.94,278580.06,Contractor Expense
Brokerage charges paid,248744,Individual,194H,5%,12437.2,236306.8,Commission Expense
Commission paid to agent,185006,Individual,194H,5%,9250.3,175755.7,Commission Expense
Interest on unsecured loan,114806,Individual,194A,10%,11480.6,103325.4,Interest Expense
Warehouse rent paid,395436,Firm,194I,10%,39543.6,355892.4,Rent Expense
Freight charges paid,494058,Company,194C,1%,4940.58,489117.42,Contractor Expense
Agent incentive paid,352632,Professional,194H,5%,17631.6,335000.4,Commission Expense
Building lease payment,131771,Firm,194I,10%,13177.1,118593.9,Rent Expense
Professional consultancy charges,33720,Professional,194J,10%,3372.0,30348.0,Professional Fees
Bank interest paid,423952,Company,194A,10%,42395.2,381556.8,Interest Expense
Freight charges paid,171562,Contractor,194C,1%,1715.62,169846.38,Contractor Expense
Raw material purchase made,246641,Company,194Q,0.1%,246.64,246394.36,Purchase Expense
Vendor supply payment,393167,Contractor,194Q,0.1%,393.17,392773.83,Purchase Expense
Bulk inventory purchase,39270,Contractor,194Q,0.1%,39.27,39230.73,Purchase Expense
Sales commission payment,427561,Company,194H,5%,21378.05,406182.95,Commission Expense
Contractor payment made,472534,Professional,194C,1%,4725.34,467808.66,Contractor Expense
Brokerage charges paid,376418,Individual,194H,5%,18820.9,357597.1,Commission Expense
Referral commission paid,317472,Firm,194H,5%,15873.6,301598.4,Commission Expense
Vendor supply payment,149367,Company,194Q,0.1%,149.37,149217.63,Purchase Expense
Building lease payment,63402,Company,194I,10%,6340.2,57061.8,Rent Expense
Office rent paid,461767,Professional,194I,10%,46176.7,415590.3,Rent Expense
Purchase of stock items,343380,Professional,194Q,0.1%,343.38,343036.62,Purchase Expense
Warehouse rent paid,220875,Firm,194I,10%,22087.5,198787.5,Rent Expense
Referral commission paid,279794,Individual,194H,5%,13989.7,265804.3,Commission Expense
Goods purchased from vendor,341760,Firm,194Q,0.1%,341.76,341418.24,Purchase Expense
Professional consultancy charges,385696,Firm,194J,10%,38569.6,347126.4,Professional Fees
Transport charges paid,184164,Company,194C,1%,1841.64,182322.36,Contractor Expense
Doctor consultation fees paid,126882,Company,194J,10%,12688.2,114193.8,Professional Fees
Raw material purchase made,121783,Contractor,194Q,0.1%,121.78,121661.22,Purchase Expense
Doctor consultation fees paid,446733,Company,194J,10%,44673.3,402059.7,Professional Fees
Property rent paid,91048,Firm,194I,10%,9104.8,81943.2,Rent Expense
Raw material purchase made,386561,Contractor,194Q,0.1%,386.56,386174.44,Purchase Expense
CA fees paid,112281,Company,194J,10%,11228.1,101052.9,Professional Fees
Goods purchased from vendor,373166,Company,194Q,0.1%,373.17,372792.83,Purchase Expense
CA fees paid,227197,Individual,194J,10%,22719.7,204477.3,Professional Fees
Building lease payment,103885,Firm,194I,10%,10388.5,93496.5,Rent Expense
CA fees paid,416058,Company,194J,10%,41605.8,374452.2,Professional Fees
Purchase of stock items,477502,Individual,194Q,0.1%,477.5,477024.5,Purchase Expense
Commission paid to agent,307555,Company,194H,5%,15377.75,292177.25,Commission Expense
Vendor supply payment,297933,Contractor,194Q,0.1%,297.93,297635.07,Purchase Expense
Legal consultancy fees paid,38023,Contractor,194J,10%,3802.3,34220.7,Professional Fees
Interest paid on loan,258496,Contractor,194A,10%,25849.6,232646.4,Interest Expense
Referral commission paid,363549,Individual,194H,5%,18177.45,345371.55,Commission Expense
Office rent paid,82809,Company,194I,10%,8280.9,74528.1,Rent Expense
Professional consultancy charges,177029,Firm,194J,10%,17702.9,159326.1,Professional Fees
Audit fees paid,100877,Professional,194J,10%,10087.7,90789.3,Professional Fees
Goods purchased from vendor,144472,Company,194Q,0.1%,144.47,144327.53,Purchase Expense
Purchase of stock items,246605,Individual,194Q,0.1%,246.6,246358.4,Purchase Expense
Audit fees paid,496506,Contractor,194J,10%,49650.6,446855.4,Professional Fees
Shop rent transferred,113976,Contractor,194I,10%,11397.6,102578.4,Rent Expense
Legal consultancy fees paid,163081,Contractor,194J,10%,16308.1,146772.9,Professional Fees
Shop rent transferred,380989,Individual,194I,10%,38098.9,342890.1,Rent Expense
Contractor payment made,29899,Company,194C,1%,298.99,29600.01,Contractor Expense
Finance charges paid,180001,Firm,194A,10%,18000.1,162000.9,Interest Expense
Interest payment booked,424337,Professional,194A,10%,42433.7,381903.3,Interest Expense
CA fees paid,172872,Individual,194J,10%,17287.2,155584.8,Professional Fees
Freight charges paid,474584,Company,194C,1%,4745.84,469838.16,Contractor Expense
Purchase of stock items,325254,Professional,194Q,0.1%,325.25,324928.75,Purchase Expense
Audit fees paid,328246,Company,194J,10%,32824.6,295421.4,Professional Fees
Goods purchased from vendor,210736,Contractor,194Q,0.1%,210.74,210525.26,Purchase Expense
Raw material purchase made,344460,Professional,194Q,0.1%,344.46,344115.54,Purchase Expense
Purchase of stock items,151034,Firm,194Q,0.1%,151.03,150882.97,Purchase Expense
Construction work payment,363912,Individual,194C,1%,3639.12,360272.88,Contractor Expense
Doctor consultation fees paid,254915,Professional,194J,10%,25491.5,229423.5,Professional Fees
Professional consultancy charges,65350,Professional,194J,10%,6535.0,58815.0,Professional Fees
Interest payment booked,414525,Firm,194A,10%,41452.5,373072.5,Interest Expense
Audit fees paid,404378,Firm,194J,10%,40437.8,363940.2,Professional Fees
Shop rent transferred,273705,Professional,194I,10%,27370.5,246334.5,Rent Expense
Commission paid to agent,383119,Contractor,194H,5%,19155.95,363963.05,Commission Expense
Professional consultancy charges,64212,Individual,194J,10%,6421.2,57790.8,Professional Fees
Construction work payment,190925,Contractor,194C,1%,1909.25,189015.75,Contractor Expense
Freight charges paid,288230,Individual,194C,1%,2882.3,285347.7,Contractor Expense
Legal consultancy fees paid,499781,Company,194J,10%,49978.1,449802.9,Professional Fees
Freight charges paid,162848,Individual,194C,1%,1628.48,161219.52,Contractor Expense
Sales commission payment,378455,Professional,194H,5%,18922.75,359532.25,Commission Expense
Office rent paid,183497,Individual,194I,10%,18349.7,165147.3,Rent Expense
Referral commission paid,112496,Contractor,194H,5%,5624.8,106871.2,Commission Expense
Office rent paid,92866,Individual,194I,10%,9286.6,83579.4,Rent Expense
Interest paid on loan,212520,Individual,194A,10%,21252.0,191268.0,Interest Expense
Warehouse rent paid,355804,Individual,194I,10%,35580.4,320223.6,Rent Expense
Bulk inventory purchase,64917,Firm,194Q,0.1%,64.92,64852.08,Purchase Expense
Interest paid on loan,373772,Contractor,194A,10%,37377.2,336394.8,Interest Expense
Bank interest paid,28489,Company,194A,10%,2848.9,25640.1,Interest Expense
Sales commission payment,14728,Contractor,194H,5%,736.4,13991.6,Commission Expense
Building lease payment,120563,Contractor,194I,10%,12056.3,108506.7,Rent Expense
Contractor payment made,89878,Firm,194C,1%,898.78,88979.22,Contractor Expense
Referral commission paid,334713,Company,194H,5%,16735.65,317977.35,Commission Expense
Finance charges paid,21235,Company,194A,10%,2123.5,19111.5,Interest Expense
Finance charges paid,438187,Firm,194A,10%,43818.7,394368.3,Interest Expense
Agent incentive paid,415770,Professional,194H,5%,20788.5,394981.5,Commission Expense
Transport charges paid,291344,Contractor,194C,1%,2913.44,288430.56,Contractor Expense
Audit fees paid,353294,Professional,194J,10%,35329.4,317964.6,Professional Fees
Bulk inventory purchase,387448,Contractor,194Q,0.1%,387.45,387060.55,Purchase Expense
Property rent paid,56345,Firm,194I,10%,5634.5,50710.5,Rent Expense
Finance charges paid,131643,Individual,194A,10%,13164.3,118478.7,Interest Expense
Raw material purchase made,402922,Company,194Q,0.1%,402.92,402519.08,Purchase Expense
Raw material purchase made,320275,Professional,194Q,0.1%,320.27,319954.73,Purchase Expense
Raw material purchase made,50678,Professional,194Q,0.1%,50.68,50627.32,Purchase Expense
Bank interest paid,17329,Company,194A,10%,1732.9,15596.1,Interest Expense
Sales commission payment,315774,Firm,194H,5%,15788.7,299985.3,Commission Expense
Commission paid to agent,268650,Company,194H,5%,13432.5,255217.5,Commission Expense
Labour charges paid,302016,Company,194C,1%,3020.16,298995.84,Contractor Expense
Brokerage charges paid,77062,Individual,194H,5%,3853.1,73208.9,Commission Expense
Raw material purchase made,312598,Professional,194Q,0.1%,312.6,312285.4,Purchase Expense
Construction work payment,34104,Contractor,194C,1%,341.04,33762.96,Contractor Expense
Referral commission paid,161571,Company,194H,5%,8078.55,153492.45,Commission Expense
Finance charges paid,164766,Professional,194A,10%,16476.6,148289.4,Interest Expense
Shop rent transferred,456471,Firm,194I,10%,45647.1,410823.9,Rent Expense
Purchase of stock items,139783,Firm,194Q,0.1%,139.78,139643.22,Purchase Expense
Shop rent transferred,153784,Contractor,194I,10%,15378.4,138405.6,Rent Expense
Interest payment booked,199756,Contractor,194A,10%,19975.6,179780.4,Interest Expense
Vendor supply payment,13342,Professional,194Q,0.1%,13.34,13328.66,Purchase Expense
Interest payment booked,374722,Contractor,194A,10%,37472.2,337249.8,Interest Expense
Sales commission payment,170300,Individual,194H,5%,8515.0,161785.0,Commission Expense
Agent incentive paid,40085,Firm,194H,5%,2004.25,38080.75,Commission Expense
Commission paid to agent,24266,Company,194H,5%,1213.3,23052.7,Commission Expense
Finance charges paid,215525,Firm,194A,10%,21552.5,193972.5,Interest Expense
Sales commission payment,389011,Contractor,194H,5%,19450.55,369560.45,Commission Expense
Bulk inventory purchase,72926,Professional,194Q,0.1%,72.93,72853.07,Purchase Expense
Agent incentive paid,348275,Professional,194H,5%,17413.75,330861.25,Commission Expense
